constraint,code
hh,B25013001
own_edu_no_hs,B25013003
own_edu_hs,B25013004
own_edu_some_col,B25013005
own_edu_bach_plus,B25013006
rent_edu_no_hs,B25013008
rent_edu_hs,B25013009
rent_edu_some_col,B25013010
rent_edu_bach_plus,B25013011
edu_no_hs,B25013003
edu_no_hs,B25013008
edu_hs,B25013004
edu_hs,B25013009
edu_some_col,B25013005
edu_some_col,B25013010
edu_bach_plus,B25013006
edu_bach_plus,B25013011
own,B25007002
own_age_18_34,B25007003
own_age_18_34,B25007004
own_age_35_44,B25007005
own_age_45_64,B25007006
own_age_45_64,B25007007
own_age_45_64,B25007008
own_age_65_plus,B25007009
own_age_65_plus,B25007010
own_age_65_plus,B25007011
rent,B25007012
rent_age_18_34,B25007013
rent_age_18_34,B25007014
rent_age_35_44,B25007015
rent_age_45_64,B25007016
rent_age_45_64,B25007017
rent_age_45_64,B25007018
rent_age_65_plus,B25007019
rent_age_65_plus,B25007020
rent_age_65_plus,B25007021
age_18_34,B25007003
age_18_34,B25007004
age_18_34,B25007013
age_18_34,B25007014
age_35_44,B25007005
age_35_44,B25007015
age_45_64,B25007006
age_45_64,B25007007
age_45_64,B25007008
age_45_64,B25007016
age_45_64,B25007017
age_45_64,B25007018
age_65_plus,B25007009
age_65_plus,B25007010
age_65_plus,B25007011
age_65_plus,B25007019
age_65_plus,B25007020
age_65_plus,B25007021
own_inc_under_50k,B25118003
own_inc_under_50k,B25118004
own_inc_under_50k,B25118005
own_inc_under_50k,B25118006
own_inc_under_50k,B25118007
own_inc_under_50k,B25118008
own_inc_under_50k,B25118009
own_inc_50k_99k,B25118010
own_inc_50k_99k,B25118011
own_inc_100k_149k,B25118012
own_inc_150k_plus,B25118013
rent_inc_under_50k,B25118015
rent_inc_under_50k,B25118016
rent_inc_under_50k,B25118017
rent_inc_under_50k,B25118018
rent_inc_under_50k,B25118019
rent_inc_under_50k,B25118020
rent_inc_under_50k,B25118021
rent_inc_50k_99k,B25118022
rent_inc_50k_99k,B25118023
rent_inc_100k_149k,B25118024
rent_inc_150k_plus,B25118025
inc_under_50k,B25118003
inc_under_50k,B25118004
inc_under_50k,B25118005
inc_under_50k,B25118006
inc_under_50k,B25118007
inc_under_50k,B25118008
inc_under_50k,B25118009
inc_under_50k,B25118015
inc_under_50k,B25118016
inc_under_50k,B25118017
inc_under_50k,B25118018
inc_under_50k,B25118019
inc_under_50k,B25118020
inc_under_50k,B25118021
inc_50k_99k,B25118010
inc_50k_99k,B25118011
inc_50k_99k,B25118022
inc_50k_99k,B25118023
inc_100k_149k,B25118012
inc_100k_149k,B25118024
inc_150k_plus,B25118013
inc_150k_plus,B25118025
